Game_name,Game_platform,Game_release_date,Game_developer,Game_distribution,Game_genre,Critic_score_0_100,Critic_num_reviews,User_score_0_10,User_num_reviews,Link
Lumines Plus,PlayStation 2,2007-02-27,Q Entertainment,Buena Vista Games,Matching Puzzle,73.0,22.0,,,/game/lumines-plus/
Lumines Remastered,Nintendo Switch,2018-06-26,Resonair,Enhance Games,Matching Puzzle,83.0,21.0,8.1,34.0,/game/lumines-remastered/
Lumines Supernova,PlayStation 3,2008-12-23,Q Entertainment,Q Entertainment,Matching Puzzle,80.0,16.0,7.8,,/game/lumines-supernova/
Lumines: Electronic Symphony,PlayStation Vita,2012-02-15,Q Entertainment,Ubisoft,Matching Puzzle,83.0,65.0,7.9,91.0,/game/lumines-electronic-symphony/
Lumino City,PC,2014-12-02,State of Play Games,State of Play Games,Adventure,70.0,16.0,7.9,36.0,/game/lumino-city/
Luminous Arc,DS,2007-08-14,Imageepoch,Atlus,Turn-Based Tactics,70.0,25.0,6.7,21.0,/game/luminous-arc/
Luminous Arc 2,DS,2008-11-18,Imageepoch,Atlus,Turn-Based Tactics,73.0,19.0,8.3,19.0,/game/luminous-arc-2/
Lumo,Xbox One,2016-05-24,Triple Eh? Ltd,Rising Star Games,3D Platformer,73.0,25.0,6.0,40.0,/game/lumo/
Lunar 2: Eternal Blue,PlayStation,2000-12-15,Game Arts,Working Designs,JRPG,86.0,12.0,8.5,55.0,/game/lunar-2-eternal-blue/
Lunar Knights,DS,2007-02-06,Kojima Productions,Konami,Action RPG,82.0,39.0,7.3,16.0,/game/lunar-knights/
Lunar Lander Beyond,PlayStation 5,2024-04-23,Dreams Uncorporated,Atari,Space Sim,65.0,8.0,6.8,4.0,https://www.metacritic.com/game/lunar-lander-beyond
Lunar Legend,Game Boy Advance,2002-12-10,Game Arts,Ubisoft,JRPG,79.0,20.0,6.3,6.0,/game/lunar-legend/
Lunar: Dragon Song,DS,2005-09-27,Japan Art Media (JAM),Ubisoft,JRPG,59.0,30.0,4.2,12.0,/game/lunar-dragon-song/
Lunar: Silver Star Harmony,PSP,2010-03-02,Game Arts,XSEED Games,JRPG,80.0,26.0,8.3,37.0,/game/lunar-silver-star-harmony/
Lunar: Silver Star Story,iOS (iPhone/iPad),1999-05-28,Game Arts,Working Designs,JRPG,78.0,15.0,8.5,56.0,/game/lunar-silver-star-story/
Lunark,PC,2023-03-30,Canari Games,WayForward,2D Platformer,77.0,9.0,7.8,5.0,/game/lunark/
Lunistice,PC,2022-11-10,A Grumpy Fox,Deck 13,3D Platformer,82.0,9.0,6.3,18.0,/game/lunistice/
Lupin The 3Rd: Treasure Of The Sorcerer King,PlayStation 2,2004-02-11,Banpresto,Bandai,Action Adventure,67.0,16.0,6.5,,/game/lupin-the-3rd-treasure-of-the-sorcerer-king/
Lust For Darkness,PC,2018-06-12,Movie Games,Movie Games,First-Person Adventure,50.0,9.0,5.4,61.0,/game/lust-for-darkness/
Lust From Beyond,PC,2021-03-11,Movie Games,Movie Games,First-Person Adventure,61.0,19.0,6.7,41.0,/game/lust-from-beyond/
Lux-Pain,DS,2009-03-27,Killaware,Ignition Entertainment,Visual Novel,48.0,33.0,6.6,5.0,/game/lux-pain/
Luxor 2,Xbox 360,2007-04-04,MumboJumbo,MumboJumbo,Puzzle,70.0,16.0,7.3,9.0,/game/luxor-2/
Luxor: The Wrath Of Set,PSP,2006-11-17,MumboJumbo,MumboJumbo,Puzzle,60.0,16.0,6.0,,/game/luxor-the-wrath-of-set/
Lydia,PC,2020-01-17,Platonic Partnership,Nakana.io,Adventure,68.0,11.0,6.5,24.0,/game/lydia/
Lysfanga: The Time Shift Warrior,PC,2024-02-13,Sand Door Studio,Quantic Dream,Action Adventure,76.0,28.0,,,/game/lysfanga-the-time-shift-warrior/
M.A.C.H. Modified Air Combat Heroes,PSP,2007-02-20,VU Games,Sierra Entertainment,Arcade Racing,65.0,25.0,7.6,11.0,/game/m-a-c-h-modified-air-combat-heroes/
Madison,PC,2022-07-08,BLOODIOUS GAMES,BLOODIOUS GAMES,First-Person Adventure,75.0,21.0,8.2,637.0,/game/madison/
Mag,PlayStation 3,2010-01-26,Zipper Interactive,SCEA,Tactical FPS,76.0,83.0,7.4,110.0,/game/mag/
Makiva,Xbox 360,2010-01-08,yuwaka,yuwaka,Strategy,,,,,https://www.metacritic.com/game/makiva
Mars 2120,PC,,QUByte Interactive,QUByte Interactive,Metroidvania,,,,,https://www.metacritic.com/game/mars-2120
